object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201720629349300907,540505977,LIMITED PARTNERSHIP INTERESTS,738328809,F
201720629349300907,540505977,FUNDS HELD IN TRUST BY OTHERS,477101619,F
201730469349302973,480543728,HELD IN TRUST BY OTHERS,5035764,F
201730469349302973,480543728,BENEFICIAL INTEREST IN PERPETUAL TRU,741677,F
201730469349302973,480543728,LT CERTIFICATES OF DEPOSIT,598701,F
201730469349302973,480543728,CASH VALUE OF LIFE INSURANCE,418487,F
201730469349302973,480543728,CHARITABLE REMAINDER TRUSTS,267361,F
201730469349302973,480543728,REAL ESTATE,77800,F
201740619349300514,362181973,Real Assets,3509021,F
201740619349300514,362181973,private equity,1520017,F
201740619349300514,362181973,hedge funds,20895200,F
201740459349302374,620484185,LONG-TERM INVESTMENTS,26527970,F
201740419349300829,440545271,Fund of Funds,18819080,F
201740419349300829,440545271,Managed Futures,4214548,F
201740419349300829,440545271,Beneficial Interest in Perpetual Trust,9118101,F
201710739349300781,941156599,REAL ESTATE,10078967,F
201720549349300302,420680335,HEDGE FUND,11474771,F
201720549349300302,420680335,NATURAL RESOURCE FUND,982576,F
201720549349300302,420680335,PRIVATE EQUITY FUND,3200738,F
201720549349300302,420680335,REIT,4984812,F
201720549349300302,420680335,OTHER,5124,F
201740449349301019,420686467,ALTERNATIVE INVESTMENTS,1130931,F
201740449349301019,420686467,COLLATERIZED DEBT OBLIGATIONS,2309838,F
201740449349301019,420686467,PRIVATE EQUITY FUND,675461,F
201740449349301019,420686467,REAL ESTATE INVESTMENT TRUST,5557746,F
201720629349300812,160743942,OTHER INVESTMENTS,104561598,F
201720419349301297,540506314,OTHER ALTERNATIVE INVESTMENTS,15242865,F
201710559349300026,350868096,ALTERNATIVE INVESTMENTS,127023139,F
201740469349303284,721304948,LICENSE FEES AND INSTALLATION,400806,C
201740469349303284,721304948,DEPOSITS AND INVESTMENTS,7617450,C
201700589349300105,420707114,INVESTMENT IN RELATED ENTITY - THE CENTER,13714869,F
201700589349300105,420707114,CASH VALUE OF LIFE INSURANCE,297841,F
201700589349300105,420707114,POOLED INVESTMENTS,29374203,F
201740449349300139,420681046,BENEFICIAL INTEREST IN CHARITABLE TRUSTS,3262517,F
201740449349300139,420681046,PRIVATE EQUITY FUND,3800133,F
201740449349300139,420681046,COLLATERALIZED DEBT OBLIGATION,1975120,F
201740449349300139,420681046,REAL ESTATE,77296,F
201720449349302492,042596491,CERTIFICATES OF DEPOSIT,126964,F
201720449349302492,042596491,EQUITY MUTUAL FUNDS,163437,F
201720449349302492,042596491,CORPORATE BONDS,50428,F
201730459349300728,480543736,REAL ESTATE & FARM PROPERTY,14062831,F
201730459349300728,480543736,MINERAL RIGHTS,674702,F
201730459349300728,480543736,MISCELLANEOUS,475197,C
201720459349301102,314379435,REAL ESTATE,13701,C
201720459349301102,314379435,HEDGE FUNDS,7174004,F
201720459349301102,314379435,PRIVATE EQUITY FUNDS,4533125,F
201730449349300628,390833608,Cash,190529,F
201730449349300628,390833608,Certificates of Deposit,577336,F
201730449349300628,390833608,Cash & Money Market,1133597,F
201730449349300628,390833608,Hedge Funds,8063655,F
201730449349300628,390833608,Real Estate,689648,F
201730449349300628,390833608,Other,13706,F
201740319349300514,570314374,MONEY FUNDS,784632,F
201740319349300514,570314374,UMC BOARD COLLEGE FUND,344938,F
201740319349300514,570314374,UMC BOARD INV. POOL,1038360,F
201740319349300514,570314374,MONEY MARKET,1588817,F
201740319349300514,570314374,FUNDS HELD IN TRUSTS,399814,F
201740319349300514,570314374,CORPORATE STOCKS,6833462,F
201740319349300514,570314374,CORPORATE BONDS,6813609,F
201740319349300514,570314374,GOVERNMENT BONDS,1066283,F
