object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,SpcfcSrvcsPrvddTxt,RgnTtlExpndtrsAmt
201520439349301372,510413351,EUROPE,0,0,PROGRAM SERVICES,THE IRISH AMERICAN UNIVERSITY MAKES PAYMENTS TO THE AMERICAN COLLEGE OF DUBLIN FOR EXPENSES OF STUDENTS TO STUDY ABROAD,50798
201540429349301289,231352652,EAST ASIA/PACIFIC,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,156436
201540429349301289,231352652,EUROPE,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,555011
201540429349301289,231352652,NORTH AMERICA,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,107512
201540429349301289,231352652,SOUTH AMERICA,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,161920
201540429349301289,231352652,SOUTH ASIA,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,13550
201540429349301289,231352652,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,81856
201540429349301289,231352652,RUSSIA,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,21699
201540429349301289,231352652,CENTRAL AMERICA,0,0,PROGRAM SERVICES,HIGHER EDUCATION - STUDY ABROAD PROGRAM,19942
201530429349301023,440545271,Europe (including Iceland and Greenland),0,0,Program Services,Students have the opportunity to travel to an international country as a week long study abroad trip.,278056
201530429349301023,440545271,Central America and the Caribbean,0,0,Program Services,Students have the opportunity to travel to an international country as a week long study abroad trip.,17850
201530409349300913,310536647,"Europe (Including Iceland & Greenland) - Albania, Andorra, Austria, Belgium",0,0,Program Services,Study abroad program.,123002
201530379349301253,470378777,Central America and the Caribbean,0,0,Investments,4225300
201530379349301253,470378777,Central America and the Caribbean,0,0,Program Services,Educational Services,29931
201530379349301253,470378777,Europe (including Iceland and Greenland),0,0,Program Services,Educational Services,68574
201530379349301253,470378777,Sub-Saharan Africa,0,0,Program Services,Educational Services,13626
201530379349301253,470378777,East Asia and the Pacific,0,0,Program Services,Educational Services,11700
201530439349301108,560657294,CENTRAL AMERICAN / CARIBBEAN,PROGRAM SERVICES,"STUDY ABROAD $32,417RECRUITING $5,291HUMANITARIAN $44,634",82342
201530439349301108,560657294,EUROPE,PROGRAM SERVICESPROGRAM SERVICESPROGRAM SERVICES,"STUDY ABROAD $43,023RECRUITING $13,235",56258
201530439349301108,560657294,NORTH AMERICA,PROGRAM SERVICESPROGRAM SERVICES,RECRUITING $59,59
201530439349301108,560657294,EAST ASIA AND PACIFIC,PROGRAM SERVICESPROGRAM SERVICES,"STUDY ABROAD $5,027RECRUITING $4,804",9831
201530439349301108,560657294,SOUTH ASIA,PROGRAM SERVICES,"RECRUITING $4,681",4681
201530439349301108,560657294,SOUTH AMERICA,PROGRAM SERVICES,"RECRUITING $2,211",2211
201530439349301108,560657294,MIDDLE EAST & NORTH AFRICA,PROGRAM SERVICESPROGRAM SERVICES,STUDY ABROAD $434,434
201530439349301108,560657294,SUB-SAHARAN AFRICA,PROGRAM SERVICES,"STUDY ABROAD $6,456RECRUITING $7,696HUMANITARIAN $10,000",24152
201530439349301108,560657294,RUSSIA AND NEIGHBOR STATES,PROGRAM SERVICES,"RECRUITING $3,198",3198
201510419349300416,440545914,EUROPE (INCLUDING ICELAND & GREENLAND) -,0,0,PROGRAM SERVICES,STUDY ABROAD PROGRAMS,276465
201510419349300416,440545914,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,1130000
201530429349301473,941585735,EUROPE (INCLUDING ICELAND & GREENLAND) -,0,0,PROGRAM SERVICES,SUMMER LAW PROGRAM,13915
201530429349301473,941585735,NORTH AMERICA,0,0,GRANTS,5040
201530429349301473,941585735,CENTRAL AMERICA AND THE CARIBBEAN -,0,0,INVESTMENTS,7896738
201530429349301473,941585735,SOUTH ASIA,0,0,GRANTS,877
