object_id,ein,OfAssstncTxt,RgnTxt,RcpntCnt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
202141329349303694,741233796,FACULTY/STAFF DEVELOPMENT AND RESEARCH,EUROPE,17,30242,CHECK OR CC
202141329349303694,741233796,FACULTY/STAFF DEVELOPMENT AND RESEARCH,NORTH AMERICA,2,4421,CHECK OR CC
202141329349303694,741233796,FACULTY/STAFF DEVELOPMENT AND RESEARCH,SOUTH AMERICA,2,4343,CHECK OR CC
202141329349303694,741233796,FACULTY/STAFF DEVELOPMENT AND RESEARCH,EAST ASIA & THE PACIFIC,3,1607,CHECK OR CC
202141329349303694,741233796,NEED BASED AWARD,RUSSIA AND NEIGHBORING STATES,1,2000,CHECK
202141329349303694,741233796,NEED BASED AWARD,SOUTH AMERICA,2,8000,CHECK
202141329349303694,741233796,MERIT BASED AWARD,NORTH AMERICA,3,5100,CHECK
202141329349303694,741233796,MERIT BASED AWARD,SOUTH AMERICA,2,3450,CHECK
202141329349303694,741233796,MERIT BASED AWARD,RUSSIA AND NEIGHBORING STATES,1,1500,CHECK
202031919349301023,060653264,SCHOLARSHIPS TO FOREIGN STUDENTS,East Asia and the Pacific,812052,BASED ON TUITION
202131379349300153,560532138,Student scholarships,Europe & N Atlantic,25,26628,Check/wire
202131379349300153,560532138,Student scholarships,South America,4,6732,Check/wire
202041049349300129,520591661,EDUCATIONAL,Central America and the Caribbean,4,58500,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,East Asia and the Pacific,445,5896764,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,Europe (Including Iceland and Greenland),17,291210,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,Middle East and North Africa,5,103681,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,North America,17,217670,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,Russia and the Newly Independent States,3,60650,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,South America,8,136230,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,South Asia,23,450260,TUITION DISC,FMV
202041049349300129,520591661,EDUCATIONAL,Sub-Saharan Africa,2,48000,TUITION DISC,FMV
202042819349300929,620518288,Consultant for European program,Europe (including Iceland and Greenland),1,12000,By USA check,Book
202041929349301619,160805158,SCHOLARSHIPS AND FINANCIAL AID,"EAST ASIA AND THE PACIFIC - AUSTRALIA, BRUNEI, BURMA, CAMBODIA,",8,163000,FINANCIAL AID AWARD IS APPLIED TO THE STUDENT'S TUITION
202041929349301619,160805158,SCHOLARSHIPS AND FINANCIAL AID,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIU",25,448690,FINANCIAL AID AWARD IS APPLIED TO THE STUDENT'S TUITION
202041929349301619,160805158,SCHOLARSHIPS AND FINANCIAL AID,"NORTH AMERICA - CANADA AND MEXICO, BUT NOT THE UNITED STATES",39,140954,FINANCIAL AID AWARD IS APPLIED TO THE STUDENT'S TUITION
202041929349301619,160805158,SCHOLARSHIPS AND FINANCIAL AID,"CENTRAL AMERICA - DOMINICA, BAHAMAS, BERMUDA",1,21750,FINANCIAL AID AWARD IS APPLIED TO THE STUDENT'S TUITION
202041929349301619,160805158,SCHOLARSHIPS AND FINANCIAL AID,SOUTH AMERICA,1,24000,FINANCIAL AID AWARD IS APPLIED TO THE STUDENT'S TUITION
202041979349305584,231352630,SCHOLARSHIPS,EAST ASIA AND THE PACIFIC,45,245500,CHECK
202041979349305584,231352630,SCHOLARSHIPS,EUROPE,27,165000,CHECK
202041979349305584,231352630,SCHOLARSHIPS,SUB-SAHARAN AFRICA,7,30103,CHECK
202041979349305584,231352630,SCHOLARSHIPS,NORTH AMERICA,1,6000,CHECK
202041979349305584,231352630,SCHOLARSHIPS,SOUTH AMERICA,2,16500,CHECK
202041979349305584,231352630,SCHOLARSHIPS,"MIDDLE EAST AND NORTH AFRICA - ALGERIA, BAHRAIN, DJIBOUTI, EGYPT,",4,36000,CHECK
202041979349305584,231352630,SCHOLARSHIPS,"RUSSIA AND NEIGHBORING STATES - ARMENIA, AZERBIJAN, BELARUS,",1,6000,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,Europe (Including Iceland and Greenland),76,659855,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,Middle East and North Africa,8,316408,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,South Asia,6,56000,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,East Asia and the Pacific,62,643387,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,North America,12,467718,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,South America,3,27700,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,Sub-Saharan Africa,7,93396,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,Central America and the Caribbean,2,91887,CHECK
202041979349306034,060731360,FINANCIAL AID AND SCHOLARSHIP FUNDS,Russia and the Newly Independent States,1,63094,CHECK
202021969349302802,050259080,SCHOLARSHIPS TO STUDENTS STUDYING ABROAD,EAST ASIA AND THE PACIFIC,11,110028,DIRECT REDUCTION OF TUITION,FMV
