object_id,ein,DscrtnrySpndngAcctInd,HsngAllwncOrRsdncInd,PymntsFrUsOfRsdncInd,FrstClssOrChrtrTrvlInd,PrsnlSrvcsInd,IdmnfctnGrssUpPmtsInd,TrvlFrCmpnnsInd,ClbDsOrFsInd,WrttnPlcyRfTAndEExpnssInd,SbstnttnRqrdInd,CmpnstnSrvyInd,CmpnstnCmmttInd,BrdOrCmmttApprvlInd,IndpndntCnsltntInd,Frm990OfOthrOrgnztnsInd,WrttnEmplymntCntrctInd,SvrncPymntInd,SpplmntlNnqlRtrPlnInd,EqtyBsdCmpArrngmInd,CmpBsdOnRvnOfFlngOrgInd,CmpBsdOnRvRltdOrgsInd,CmpBsdNtErnsFlngOrgInd,CmpBsdNtErnsRltdOrgsInd,AnyNnFxdPymntsInd,IntlCntrctExcptnInd,RbttblPrsmptnPrcInd
201532819349301123,340714650,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,false,false,false,false,false,false,false,false,false,-
201502889349300345,240795439,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,X,0,0,0,0,0,0,0,0,0,-
201512809349300101,742128239,-,-,-,-,-,-,-,-,-,true,X,X,X,X,-,-,false,false,false,false,false,false,false,false,false,false
201522579349301277,330499514,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,false,false,false,false,false,false,false,false,false,-
201542789349300519,620535755,-,X,-,-,X,-,X,-,0,1,X,-,X,-,-,-,0,1,0,0,0,0,0,0,0,-
201502819349300415,592961536,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,X,false,false,false,false,false,false,false,false,false,false
201532829349300648,750855633,-,-,-,-,-,-,-,X,false,true,X,-,X,-,X,-,false,false,false,false,false,false,false,false,false,false
201502589349300015,390813418,-,-,-,-,-,-,-,X,1,1,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0,-
201503179349300040,586001901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0,-
201503179349307680,620476661,-,X,-,-,-,-,-,-,1,1,-,X,X,-,X,X,0,0,0,0,0,0,0,0,0,-
201522829349300632,381443369,-,X,-,-,-,-,X,X,true,true,X,-,X,-,-,-,false,false,false,false,false,false,false,false,false,-
201503209349304230,221487322,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,-,false,true,false,false,false,false,false,true,false,-
201513519349300001,560554199,-,X,-,-,-,-,-,-,1,1,X,-,X,-,-,-,0,0,0,0,0,0,0,0,0,-
201502869349300700,710236867,-,X,-,-,-,-,-,-,true,true,X,X,X,-,X,X,false,false,false,false,false,false,false,false,false,-
201503279349300010,941339635,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,0,0,0,0,0,0,0,0,0,-
201503209349302675,420680452,-,-,-,-,-,X,X,-,1,1,X,X,X,X,-,X,1,1,0,0,0,0,0,0,0,-
201513209349304156,470424785,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,X,0,0,0,0,0,0,0,0,0,-
