object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201500349349300965,910473310,VANDERVERT CONSTRUCTION INC,608 E HOLLAND AVE,SPOKANE,WA,99218,CONSTRUCTION,1837819
201500349349300965,910473310,BHWI LLC,522 RIVERSIDE AVE 300,SPOKANE,WA,99217,ADVERTISING,454961
201500349349300965,910473310,EDWARDS LALONE TRAVEL,221 W MAIN AVE,SPOKANE,WA,99201,TRAVEL AGENCY,434962
201500349349300965,910473310,INTEGRUS ARCHITECTURE PS,10 SOUTH CEDAR ST,SPOKANE,WA,99201,CONSTRUCTION,386733
201500349349300965,910473310,RUFFALO CODY LLC,PO BOX 3018,CEDAR RAPIDS,IA,524063018,CONSULTANT,347448
201530369349300718,362181973,G3 CONSTRUCTION GROUP,7575 PLAZA COURT,WILLOWBROOK,IL,60527,CONSTRUCTION,11056408
201530369349300718,362181973,HARVARD MAINTENANCE,570 SEVENTH AVE,NEW YORK,NY,10018,JANITORIAL SERVICES,1024484
201530369349300718,362181973,BALANCED ENVIRONMENTS,17950 WEST ROUTE 173,OLD MILL CREEK,IL,60083,LANDSCAPING SERVICES,586923
201530369349300718,362181973,RIDGEVIEW ELECTRIC,1400 RIDGEVIEW DRIVE,MCHENRY,IL,06005,ELECTRICAL SERVICES,536911
201530369349300718,362181973,ELLUCIAN INC,62814 COLLECTIONS CENTER DR,CHICAGO,IL,06069,ERP SERVICES,358203
201500309349300205,350845258,FERGUSON ADVERTISING,347 WEST BERRY,FORT WAYNE,IN,46802,ADVERTISING,1872857
201500309349300205,350845258,SECURITAS SECURITY SERVICES USA INC,2 CAMPUS DRIVE,PAPISPPANY,NH,07054,SECURITY SERVICES,429589
201500309349300205,350845258,JENZABAR INC,101 HUNTINGTON AVE SUITE 2200,BOSTON,MA,02199,SOFTWARE SUPPORT,270194
201500309349300205,350845258,BARKER EDUCATIONAL SERVICES LLC,309 W ELLIOT RD,TEMPE,AZ,85284,STUDENT RECRUITING,232664
201500309349300205,350845258,185 RED INC,PO BOX 1017,HAVERTOWN,PA,19083,STUDENT RECRUITING,129100
201510369349301501,930309970,ELLUCIAN COMPANY LP,4 COUNTRY VIEW RD,MALVERN,PA,19355,CONSULTING-STUDENT SYSTEM,291525
201510369349301501,930309970,CAMBERG COMMERCIAL CLEANING,13599 SW BRIM PL,TIGARD,OR,97223,JANITORIAL,134094
201510369349301501,930309970,Z-TECH STAFFING,12655 SW CENTER ST SUITE 330,BEAVERTON,OR,97005,STAFFING,124569
201530349349300408,410693977,GAST CONSTRUCTION COMPANY INC,1722 17TH AVE N,WAHPETON,ND,58078,CONSTRUCTION,2148353
201530349349300408,410693977,COMSTOCK CONTRUCTION INC,280 11TH ST S,WAHPETON,ND,58075,CONSTRUCTION,1579950
201530349349300408,410693977,JL LUNDMARK INC,3553 WAVILLE RD NE,BEMIDJI,MN,56601,CONSTRUCTION,1002380
201530349349300408,410693977,MARCO,4510 HEATHERWOOD RD,ST CLOUD,MN,56302,PRINTING SERVICES,438694
201530349349300408,410693977,RED RIVER TRAILS INCORPORATED,4838 S HWY 75,MOORHEAD,MN,56560,TRANSPORTATION,295043
201500339349300225,450350756,UND GRANTS & CONTRACTS,264 CENTENNIAL DRIVE TWAMLEY HALL,GRAND FORKS,ND,58202,SUBCONTRACTOR,168121
201500339349300705,470377991,Ellucian,4375 Fair Lakes Court Ste 3000,FAIRFAX,VA,22033,IT Services,286111
201500339349300705,470377991,Sodexo Inc and Affiliates,1014 Boswell Avenue,CRETE,NE,68333,Food Service,1697014
201500339349300705,470377991,AMG National Trust Bank,6501 E Belleview Avenue Ste 400,ENGLEWOOD,CO,80112,Investment Counsel,274012
201500339349300705,470377991,SAMPSON CONSTRUCTION CO INC,3730 S 14th Street,Lincoln,NE,68502,Construction,4756969
201500339349300705,470377991,THE CLARK ENERSON PARTNERS,1010 Lincoln Mall Ste 200,Lincoln,NE,68508,Architecture,388501
201530309349301008,231382408,SODEXO CAMPUS SERVICES,7001 HERITAGE VILLAGE PLAZA STE 245,GAINSVILLE,VA,20155,FOOD SERVICE,1716531
201530309349301008,231382408,SODEXO CAMPUS SERVICES,511 PITTSTOWN BLDV,BEAR CREEK TOWNSHIP,PA,18702,FACILITY MANAGE,1049137
